Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0805_2012Metric",115.519200,-93.014800,0.000000,top
"J1","Conn_01x04_Male","JST_PH_S4B-PH-K_1x04_P2.00mm_Vertical",108.585000,-90.982800,270.000000,top
"J2","Conn_02x10_Odd_Even","PinHeader_2x10_P2.54mm_Vertical",137.160000,-119.380000,270.000000,top
"J3","Conn_01x05_Male","JST_PH_S5B-PH-K_1x05_P2.00mm_Vertical",146.304000,-120.142000,0.000000,top
"J4","Conn_01x04_Male","JST_PH_S4B-PH-K_1x04_P2.00mm_Vertical",159.258000,-120.142000,0.000000,top
"J9","Conn_01x04_Male","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",116.332000,-108.000800,90.000000,top
"J10","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",184.277000,-120.142000,90.000000,top
"J11","Conn_01x04_Male","JST_PH_S4B-PH-K_1x04_P2.00mm_Vertical",170.212000,-120.142000,0.000000,top
"J12","Conn_01x04_Male","JST_PH_S4B-PH-K_1x04_P2.00mm_Vertical",108.610400,-105.003600,270.000000,top
"J13","Conn_01x04_Male","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",142.557500,-101.600000,90.000000,top
"R1","330","R_0805_2012Metric",139.065000,-114.935000,270.000000,top
"R2","330","R_0805_2012Metric",141.097000,-114.935000,270.000000,top
"R3","330","R_0805_2012Metric",143.129000,-114.935000,270.000000,top
"R4","330","R_0805_2012Metric",145.161000,-114.935000,270.000000,top
"R5","330","R_0805_2012Metric",115.519200,-91.033600,180.000000,top
"R6","4.7k","R_0805_2012Metric",112.166400,-114.757200,90.000000,top
"R7","4.7k","R_0805_2012Metric",115.570000,-114.757200,90.000000,top
"U2","SN74LV1T34DBV","SOT-23-5",119.176800,-90.322400,180.000000,top
